"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         243,      -13.86363727,       -11.5868376,      -11.56911468,      -11.69989513,      -8.412861291
          0,           0,         244,      -13.92630109,      -11.72544585,      -11.59078893,      -11.65870653,      -8.486470749
          0,           0,         245,      -13.68415852,      -11.29219608,      -11.43615688,       -11.5712482,      -8.244467755
          0,           0,         246,      -13.88285467,      -11.56227332,       -11.5030908,      -11.68816341,      -8.425450745
          0,           0,         247,      -13.74645915,      -11.58818056,      -11.38810301,      -11.55851607,      -8.293246989
          0,           0,         248,      -13.63246572,      -11.34878098,      -11.16640073,      -11.41563629,      -8.181553268
          0,           0,         249,      -13.85401571,      -11.45036145,       -11.5070373,      -11.61871767,      -8.407277567
          0,           0,         250,      -13.89734472,      -11.48521435,      -11.58387566,      -11.60984696,      -8.462242719
          0,           0,         251,      -14.03066963,      -11.67297589,      -11.64279735,      -11.82164486,      -8.612566406
          0,           0,         252,      -13.84216948,      -11.54688444,        -11.366816,      -11.62005412,      -8.395830731
          0,           0,         253,      -13.86516219,      -11.71784515,      -11.49882984,      -11.70996445,      -8.427126726
          0,           0,         254,      -13.62202183,      -11.54993319,      -11.06336523,      -11.35413416,      -8.163224663
          0,           0,         255,      -13.79446078,      -11.64460679,      -11.33596516,      -11.51179126,      -8.341940834
          0,           0,         256,      -13.61879255,      -11.50465629,       -11.1531554,      -11.35535308,       -8.16060346
          0,           0,         257,      -13.77727931,      -11.57788983,      -11.43673295,       -11.6559873,      -8.339480297
          0,           0,         258,      -13.78330652,      -11.55696497,      -11.38083581,      -11.56801094,      -8.328891505
          0,           0,         259,      -13.85266489,      -11.59150293,      -11.53567847,      -11.62058075,      -8.409998497
          0,           0,         260,      -13.84272592,      -11.54250023,       -11.4482229,      -11.66999822,      -8.402085715
          0,           0,         261,      -13.57227235,      -11.38707214,      -11.13201252,      -11.43751421,      -8.110977605
          0,           0,         262,      -13.91484685,      -11.66718208,      -11.56630237,      -11.65008818,      -8.470107405
          0,           0,         263,      -13.71469025,      -11.49818475,       -11.4860698,      -11.57366634,      -8.264590678
          0,           0,         264,      -13.69825696,      -11.46970522,      -11.33329155,      -11.42657735,      -8.267987499
          0,           0,         265,       -13.7126212,      -11.26703737,      -11.37192499,      -11.53609572,       -8.25989486
          0,           0,         266,      -13.77489199,      -11.37854731,      -11.53079439,      -11.65074379,      -8.337457113
          0,           0,         267,      -13.84073045,      -11.70897107,       -11.4192061,       -11.6789366,      -8.394381525
          0,           0,         268,      -13.93455998,      -11.64270658,      -11.66194756,      -11.71085717,       -8.49554393
          0,           0,         269,       -13.8341968,      -11.47487741,      -11.46653154,      -11.58815987,      -8.399340112
          0,           0,         270,       -13.6418315,      -11.50877496,       -11.1309481,      -11.42998804,      -8.185546794
          0,           0,         271,      -13.68187371,      -11.38327905,      -11.46933894,      -11.72634142,      -8.243098108
          0,           0,         272,      -13.84122391,       -11.4286495,      -11.40976459,       -11.6653119,      -8.390590576
          0,           0,         273,      -13.63811988,      -11.52053604,      -11.12212967,      -11.51922764,      -8.180154075
          0,           0,         274,      -13.88297293,       -11.6212207,      -11.37495651,      -11.51606423,      -8.446122541
          0,           0,         275,      -13.94963715,      -11.70170009,      -11.58268685,      -11.68748375,      -8.524417089
